Title,Rating,Votes,Genre,Duration
Immaculate,5.8,54000,"Body Horror, Supernatural Horror, Horror, Thriller",89
The Union,5.4,54000,"Buddy Comedy, Spy, Action, Comedy, Thriller",107
Here,6.3,23000,"Coming-of-Age, Drama",104
Restless,6.3,437,"Drama, Thriller",0
Lucky Baskhar,8.0,34000,"Caper, Crime, Drama, Thriller",148
Maharaja,8.4,70000,"One-Person Army Action, Action, Crime, Drama, Thriller",141
The Outrun,6.9,17000,"Psychological Drama, Drama",118
Land of Bad,6.6,52000,"Martial Arts, Spy, Action, Thriller",113
The Watchers,5.7,59000,"Supernatural Horror, Suspense Mystery, Fantasy, Horror, Mystery, Thriller",102
The Crow,4.7,36000,"Dark Fantasy, Dark Romance, One-Person Army Action, Serial Killer, Splatter Horror, Superhero, Supernatural Fantasy, Supernatural Horror, Tragic Romance, Action",111
Y2K,4.8,16000,"Artificial Intelligence, Teen Comedy, Teen Horror, Comedy, Horror, Sci-Fi",91
Time Cut,5.0,20000,"Dark Comedy, Slasher Horror, Teen Horror, Time Travel, Whodunnit, Horror, Mystery, Sci-Fi, Thriller",91
Red One,6.3,142000,"Holiday Comedy, Action, Adventure, Comedy, Fantasy, Holiday, Mystery",123
The Lord of the Rings: The War of the Rohirrim,6.3,33000,"Adult Animation, Adventure Epic, Anime, Dark Fantasy, Fantasy Epic, Sword & Sorcery, Action, Adventure, Animation, Drama",134
I Don't Understand You,6.0,339,"Comedy, Horror",97
Emilia Pérez,5.4,91000,"Pop Musical, Crime, Drama, Musical, Thriller",132
The Instigators,6.2,39000,"Buddy Comedy, Caper, Action, Comedy, Crime, Drama, Mystery, Thriller",101
Cuckoo,5.7,29000,"Body Horror, Teen Horror, Horror, Mystery, Thriller",102
Don't Move,5.8,40000,"Psychological Horror, Psychological Thriller, Survival, Horror, Thriller",92
Cheers to Life,5.2,196,"Comedy, Drama",0
It's What's Inside,6.6,44000,"Dark Comedy, Whodunnit, Comedy, Mystery, Sci-Fi, Thriller",103
Kung Fu Panda 4,6.3,70000,"Animal Adventure, Computer Animation, Action, Adventure, Animation, Comedy, Family, Fantasy, Thriller",94
Homestead,5.2,4100,"Disaster, Action, Drama, Thriller",112
The Damned,5.7,5500,"Folk Horror, Drama, Horror, Mystery",89
Survive,4.6,3000,"Sea Adventure, Survival, Action, Adventure, Horror, Sci-Fi, Thriller",0
Drive-Away Dolls,5.4,24000,"Buddy Comedy, Quirky Comedy, Road Trip, Action, Comedy, Thriller",84
A Nice Indian Boy,7.4,2000,"Romantic Comedy, Comedy, Drama, Romance",0
The Rule of Jenny Pen,6.2,5800,"Psychological Horror, Psychological Thriller, Horror, Mystery, Thriller",104
The Ghost Trap,6.5,105,"Workplace Drama, Drama",0
Monkey Man,6.8,93000,"Action Epic, Martial Arts, One-Person Army Action, Action, Crime, Thriller",121
Horizon: An American Saga - Chapter 2,7.1,1400,"Western Epic, Drama, Western",0
Riff Raff,5.7,3900,"Dark Comedy, Comedy, Crime",103
The Killer,5.7,13000,"Action, Thriller",126
The Wonderful Story of Henry Sugar and Three More,7.1,8000,"Quirky Comedy, Comedy, Drama, Fantasy",88
Jane Austen Wrecked My Life,6.5,723,"Romantic Comedy, Comedy, Romance",98
Snack Shack,7.0,13000,Comedy,112
The Shadow Strays,6.5,9600,"Gangster, Gun Fu, Martial Arts, Samurai, Action, Crime, Thriller",144
No Other Land,8.3,14000,"Political Documentary, Documentary",92
